prompt,correct_answer,p_correct,margin,correct_rank,best_incorrect_answer,p_best_incorrect,top_first_token,p_top_first_token,top_completion
"In this world, Kentucky's capital is Montgomery, Louisiana's capital is Tallahassee, North Carolina's capital is Albany, Wisconsin's capital is Santa Fe, Illinois's capital is Harrisburg, Nevada's capital is Helena, Alabama's capital is Frankfort, Oregon's capital is Salem, Minnesota's capital is Madison, California's capital is Juneau, Montana's capital is Columbus, Texas's capital is Carson City, Arizona's capital is Phoenix, Ohio's capital is Sacramento, Florida's capital is Saint Paul, Washington's capital is Austin, Kansas's capital is Lansing, Michigan's capital is Olympia, Alaska's capital is Baton Rouge, New York's capital is Raleigh, New Mexico's capital is Springfield, and Pennsylvania's capital is Topeka.
The capital of the state containing Miami is",Saint Paul,0.002259289656296782,-0.8854592365948626,5,Columbus,0.8877185262511593, Columbus,0.7529876232147217," Columbus,"
"In this world, New York's capital is Frankfort, Minnesota's capital is Austin, Nevada's capital is Phoenix, Illinois's capital is Sacramento, Alabama's capital is Helena, Texas's capital is Montgomery, Oregon's capital is Santa Fe, Louisiana's capital is Columbus, Kentucky's capital is Olympia, Ohio's capital is Topeka, Wisconsin's capital is Harrisburg, Arizona's capital is Carson City, Florida's capital is Raleigh, California's capital is Baton Rouge, Kansas's capital is Juneau, New Mexico's capital is Madison, Alaska's capital is Salem, North Carolina's capital is Springfield, Pennsylvania's capital is Lansing, Michigan's capital is Saint Paul, Washington's capital is Albany, and Montana's capital is Tallahassee.
The capital of the state containing Charlotte is",Springfield,0.0008609311099841622,-0.44511365944005193,9,Helena,0.4459745905500361, Helena,0.39453238248825073," Helena,"
"In this world, New Mexico's capital is Topeka, Oregon's capital is Harrisburg, Pennsylvania's capital is Salem, Kentucky's capital is Madison, Minnesota's capital is Olympia, Arizona's capital is Carson City, Louisiana's capital is Springfield, California's capital is Helena, New York's capital is Tallahassee, Montana's capital is Phoenix, Washington's capital is Austin, Ohio's capital is Sacramento, Alabama's capital is Montgomery, Nevada's capital is Baton Rouge, North Carolina's capital is Raleigh, Michigan's capital is Juneau, Florida's capital is Saint Paul, Alaska's capital is Lansing, Kansas's capital is Columbus, Texas's capital is Albany, Illinois's capital is Santa Fe, and Wisconsin's capital is Frankfort.
The capital of the state containing New Orleans is",Springfield,0.6610417570185898,0.4939038305884364,1,Helena,0.1671379264301534, Springfield,0.4204773008823395," Springfield,"
"In this world, Minnesota's capital is Madison, Michigan's capital is Lansing, Wisconsin's capital is Carson City, Arizona's capital is Olympia, Montana's capital is Juneau, Illinois's capital is Salem, Alaska's capital is Montgomery, Oregon's capital is Topeka, Ohio's capital is Raleigh, Kansas's capital is Tallahassee, Alabama's capital is Columbus, Louisiana's capital is Phoenix, North Carolina's capital is Sacramento, New Mexico's capital is Albany, Washington's capital is Baton Rouge, Kentucky's capital is Santa Fe, Texas's capital is Frankfort, California's capital is Springfield, Florida's capital is Austin, New York's capital is Harrisburg, Pennsylvania's capital is Helena, and Nevada's capital is Saint Paul.
The capital of the state containing Louisville is",Santa Fe,3.356793503543179e-05,-0.9038417560453575,16,Phoenix,0.9038753239803929, Phoenix,0.687792956829071," Phoenix,"
"In this world, Ohio's capital is Olympia, Alabama's capital is Helena, Nevada's capital is Sacramento, New York's capital is Phoenix, Washington's capital is Santa Fe, Florida's capital is Harrisburg, New Mexico's capital is Topeka, Minnesota's capital is Frankfort, Wisconsin's capital is Carson City, Texas's capital is Salem, Louisiana's capital is Lansing, Oregon's capital is Tallahassee, Pennsylvania's capital is Raleigh, Illinois's capital is Juneau, Alaska's capital is Albany, Kentucky's capital is Montgomery, Montana's capital is Springfield, Kansas's capital is Baton Rouge, North Carolina's capital is Saint Paul, Arizona's capital is Austin, California's capital is Madison, and Michigan's capital is Columbus.
The capital of the state containing New York City is",Phoenix,0.017833628799303364,-0.388057963122598,7,Tallahassee,0.4058915919219014, Tallahassee,0.2365192323923111," Tallahassee,"
"In this world, Pennsylvania's capital is Frankfort, Ohio's capital is Juneau, New Mexico's capital is Helena, Texas's capital is Raleigh, Florida's capital is Sacramento, Alabama's capital is Carson City, Minnesota's capital is Springfield, Illinois's capital is Tallahassee, Montana's capital is Albany, California's capital is Lansing, Michigan's capital is Santa Fe, Kentucky's capital is Madison, Alaska's capital is Olympia, Nevada's capital is Baton Rouge, Wisconsin's capital is Salem, Louisiana's capital is Montgomery, North Carolina's capital is Topeka, Kansas's capital is Phoenix, Arizona's capital is Columbus, Oregon's capital is Saint Paul, Washington's capital is Harrisburg, and New York's capital is Austin.
The capital of the state containing Louisville is",Madison,0.004102221358945055,-0.6857909865168208,8,Albany,0.6898932078757658, Albany,0.5334428548812866," Albany,"
"In this world, Louisiana's capital is Frankfort, Montana's capital is Phoenix, New York's capital is Columbus, Alaska's capital is Montgomery, Arizona's capital is Saint Paul, Kentucky's capital is Tallahassee, Wisconsin's capital is Raleigh, Pennsylvania's capital is Sacramento, North Carolina's capital is Lansing, Ohio's capital is Albany, Nevada's capital is Helena, Minnesota's capital is Springfield, Michigan's capital is Carson City, California's capital is Madison, Florida's capital is Santa Fe, Alabama's capital is Topeka, Texas's capital is Austin, Kansas's capital is Juneau, Oregon's capital is Harrisburg, New Mexico's capital is Salem, Illinois's capital is Olympia, and Washington's capital is Baton Rouge.
The capital of the state containing Las Vegas is",Helena,0.24701030415185113,-0.2144634144416336,2,Sacramento,0.46147371859348474, Sacramento,0.2542339861392975," Sacramento,"
"In this world, Kentucky's capital is Columbus, Ohio's capital is Frankfort, New York's capital is Olympia, Nevada's capital is Austin, Alaska's capital is Albany, New Mexico's capital is Helena, Kansas's capital is Montgomery, Michigan's capital is Carson City, California's capital is Topeka, North Carolina's capital is Madison, Texas's capital is Juneau, Pennsylvania's capital is Lansing, Florida's capital is Tallahassee, Louisiana's capital is Sacramento, Washington's capital is Springfield, Illinois's capital is Saint Paul, Arizona's capital is Phoenix, Wisconsin's capital is Harrisburg, Oregon's capital is Santa Fe, Montana's capital is Salem, Minnesota's capital is Raleigh, and Alabama's capital is Baton Rouge.
The capital of the state containing Portland is",Santa Fe,1.4900056372581694e-05,-0.6853450522336676,18,Helena,0.6853599522900402, Helena,0.5533090829849243," Helena,"
"In this world, California's capital is Topeka, Kentucky's capital is Salem, Arizona's capital is Helena, New York's capital is Saint Paul, Montana's capital is Olympia, Kansas's capital is Austin, Alaska's capital is Frankfort, Illinois's capital is Tallahassee, Alabama's capital is Harrisburg, Nevada's capital is Baton Rouge, Texas's capital is Lansing, Washington's capital is Carson City, Wisconsin's capital is Juneau, Minnesota's capital is Albany, Pennsylvania's capital is Columbus, Oregon's capital is Raleigh, Florida's capital is Montgomery, Michigan's capital is Phoenix, Louisiana's capital is Madison, North Carolina's capital is Springfield, Ohio's capital is Santa Fe, and New Mexico's capital is Sacramento.
The capital of the state containing Chicago is",Tallahassee,0.011708520871078888,-0.8091220957555408,4,Harrisburg,0.8208306166266197, Harrisburg,0.6830009818077087," Harrisburg,"
"In this world, Pennsylvania's capital is Madison, New Mexico's capital is Harrisburg, Wisconsin's capital is Carson City, Kentucky's capital is Albany, California's capital is Phoenix, North Carolina's capital is Springfield, Montana's capital is Austin, Alaska's capital is Tallahassee, Michigan's capital is Frankfort, Minnesota's capital is Olympia, Alabama's capital is Raleigh, Louisiana's capital is Juneau, Kansas's capital is Helena, Nevada's capital is Saint Paul, Texas's capital is Baton Rouge, Illinois's capital is Santa Fe, Florida's capital is Salem, New York's capital is Columbus, Washington's capital is Topeka, Oregon's capital is Montgomery, Ohio's capital is Lansing, and Arizona's capital is Sacramento.
The capital of the state containing Miami is",Salem,7.672842729673586e-05,-0.46367095697985977,16,Saint Paul,0.4637476854071565, Saint,0.4843616485595703," Saint Paul,"
"In this world, Minnesota's capital is Salem, Kentucky's capital is Juneau, Wisconsin's capital is Harrisburg, Pennsylvania's capital is Albany, Montana's capital is Santa Fe, New York's capital is Montgomery, Nevada's capital is Helena, North Carolina's capital is Saint Paul, Oregon's capital is Raleigh, California's capital is Madison, Louisiana's capital is Tallahassee, Alaska's capital is Sacramento, Ohio's capital is Frankfort, New Mexico's capital is Columbus, Arizona's capital is Carson City, Texas's capital is Topeka, Florida's capital is Phoenix, Washington's capital is Austin, Kansas's capital is Lansing, Alabama's capital is Olympia, Illinois's capital is Springfield, and Michigan's capital is Baton Rouge.
The capital of the state containing Detroit is",Baton Rouge,4.063237823831558e-06,-0.9807988403743925,20,Sacramento,0.9808029036122163, Sacramento,0.924471914768219," Sacramento,"
